level,region,obstacle,feedback
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,region,obstacle,feedback
1,b1,door,yes
1,b1,door,no
1,b2,door,yes
1,b2,door,no
1,b3,door,yes
1,b3,door,no
2,b1,door,yes
2,b1,door,no
2,b2,door,yes
2,b2,door,no
2,b3,door,yes
2,b3,door,nolevel,obstacle,doorid,feedback
level1,door,door1,yes
level1,door,door1,no
level1,door,door2,yes
level1,door,door2,no
level1,door,door3,yes
level1,door,door3,no
level1,door,door4,yes
level1,door,door4,no
level2,door,door1,yes
level2,door,door1,no
level2,door,door2,yes
level2,door,door2,no
level2,door,door3,yes
level2,door,door3,no
level2,door,door4,yes
level2,door,door4,nolevel,obstacle,doorid,feedback
level1,door,door1,yes
level1,door,door1,no
level1,door,door2,yes
level1,door,door2,no
level1,door,door3,yes
level1,door,door3,no
level1,door,door4,yes
level1,door,door4,no
level2,door,door1,yes
level2,door,door1,no
level2,door,door2,yes
level2,door,door2,no
level2,door,door3,yes
level2,door,door3,no
level2,door,door4,yes
level2,door,door4,nolevel,obstacle,doorid,feedback
level1,door,door1,yes
level1,door,door1,no
level1,door,door2,yes
level1,door,door2,no
level1,door,door3,yes
level1,door,door3,no
level1,door,door4,yes
level1,door,door4,no
level2,door,door1,yes
level2,door,door1,no
level2,door,door2,yes
level2,door,door2,no
level2,door,door3,yes
level2,door,door3,no
level2,door,door4,yes
level2,door,door4,nolevel,obstacle,doorid,feedback
level1,door,door1,yes
level1,door,door1,no
level1,door,door2,yes
level1,door,door2,no
level1,door,door3,yes
level1,door,door3,no
level1,door,door4,yes
level1,door,door4,no
level2,door,door1,yes
level2,door,door1,no
level2,door,door2,yes
level2,door,door2,no
level2,door,door3,yes
level2,door,door3,no
level2,door,door4,yes
level2,door,door4,nolevel,obstacle,doorid,feedback
level1,door,door1,yes
level1,door,door1,no
level1,door,door2,yes
level1,door,door2,no
level1,door,door3,yes
level1,door,door3,no
level1,door,door4,yes
level1,door,door4,no
level2,door,door1,yes
level2,door,door1,no
level2,door,door2,yes
level2,door,door2,no
level2,door,door3,yes
level2,door,door3,no
level2,door,door4,yes
level2,door,door4,no
